
32851|Nissin Wafer Krim Rasa Strawberry|Nissin Biscuit Indonesia, PT|null|33283|Nissin Kukis Gulung Crispy Roll |Nissin Biscuit Indonesia, PT|null|seeAlso
32851|Nissin Wafer Krim Rasa Strawberry|Nissin Biscuit Indonesia, PT|null|24897|Khong Guan Biskuit Dengan Krim Susu Rose Cream |Nissin Biscuit Indonesia, PT|null|seeAlso
32851|Nissin Wafer Krim Rasa Strawberry|Nissin Biscuit Indonesia, PT|null|33127|Nissin Wafer Krim Rasa Pisang|Nissin Biscuit Indonesia, PT|null|owlsameAs
32851|Nissin Wafer Krim Rasa Strawberry|Nissin Biscuit Indonesia, PT|null|31979|Monde Party Time Cookies Aneka Rasa|Nissin Biscuit Indonesia, PT|null|seeAlso
32851|Nissin Wafer Krim Rasa Strawberry|Nissin Biscuit Indonesia, PT|null|33395|Nissin Biskuit Kering |Nissin Biscuit Indonesia, PT|null|seeAlso

23611|John Farmer Peanut Butter Creamy 27|GUNANUSA ERAMANDIRI, PT|null|23586|John Farmer Peanut Butter Creamy 02|GUNANUSA ERAMANDIRI, PT|null|owlsameAs
23611|John Farmer Peanut Butter Creamy 27|GUNANUSA ERAMANDIRI, PT|null|22346|John Farmer Almond Pasta Mix Chunky 02|GUNANUSA ERAMANDIRI, PT|null|seeAlso
23611|John Farmer Peanut Butter Creamy 27|GUNANUSA ERAMANDIRI, PT|null|22568|John Farmer Almond Pasta 03|GUNANUSA ERAMANDIRI, PT|null|seeAlso
23611|John Farmer Peanut Butter Creamy 27|GUNANUSA ERAMANDIRI, PT|null|23577|John Farmer Peanut Butter Creamy 06|GUNANUSA ERAMANDIRI, PT|null|owlsameAs
23611|John Farmer Peanut Butter Creamy 27|GUNANUSA ERAMANDIRI, PT|null|23562|John Farmer Peanut Butter Creamy 19|GUNANUSA ERAMANDIRI, PT|null|owlsameAs

21973|Isolated Soy Protein YP901Q|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|21969|Isolated Soy Protein YP901M|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|owlsameAs
21973|Isolated Soy Protein YP901Q|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|43282|Soy Dietary Fiber YP301F|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|seeAlso
21973|Isolated Soy Protein YP901Q|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|37689|Protein Soy Concentrated YP701C|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|seeAlso
21973|Isolated Soy Protein YP901Q|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|37690|Protein Soy Concentrated YP701F|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|seeAlso
21973|Isolated Soy Protein YP901Q|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|21967|Isolated Soy Protein YP901K|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|owlsameAs
21973|Isolated Soy Protein YP901Q|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|21970|Isolated Soy Protein YP901L|Shandong Yuwang Ecological Food Industry Co.,Ltd|null|owlsameAs

40514|SARDINES IN OIL MAXBELL|PT GEMA ISTA RAYA|null|40642|SARDINES IN OIL KHOSH|PT GEMA ISTA RAYA|null|owlsameAs

21039|Hydrolyzed Vegetable Protein Powder HVP EB |Baoding Way Chein Food Industrial Co.,Ltd.|null|16196|Fermented Soy Sauce Powder FSP AI |Baoding Way Chein Food Industrial Co.,Ltd.|null|seeAlso
21039|Hydrolyzed Vegetable Protein Powder HVP EB |Baoding Way Chein Food Industrial Co.,Ltd.|null|21012|Hydrolyzed Vegetable Protein Powder HVP IO |Baoding Way Chein Food Industrial Co.,Ltd.|null|owlsameAs
21039|Hydrolyzed Vegetable Protein Powder HVP EB |Baoding Way Chein Food Industrial Co.,Ltd.|null|20948|Hydrolyzed Vegetable Protein Powder HVP ET |Baoding Way Chein Food Industrial Co.,Ltd.|null|owlsameAs
21039|Hydrolyzed Vegetable Protein Powder HVP EB |Baoding Way Chein Food Industrial Co.,Ltd.|null|16309|Fermented Soy Sauce Powder FSP AW |Baoding Way Chein Food Industrial Co.,Ltd.|null|seeAlso
21039|Hydrolyzed Vegetable Protein Powder HVP EB |Baoding Way Chein Food Industrial Co.,Ltd.|null|16592|Fermented Soy Sauce Powder FSP EF|Baoding Way Chein Food Industrial Co.,Ltd.|null|seeAlso

33799|Original Love Juice Minuman Buah Apel Less Sugar |HALE INTERNATIONAL, PT|null|33813|Original Love Juice Minuman Buah Jeruk Favorit |HALE INTERNATIONAL, PT|null|owlsameAs
33799|Original Love Juice Minuman Buah Apel Less Sugar |HALE INTERNATIONAL, PT|null|31293|Minuman Air Kelapa dengan Aloe Vera|HALE INTERNATIONAL, PT|null|seeAlso
33799|Original Love Juice Minuman Buah Apel Less Sugar |HALE INTERNATIONAL, PT|null|47480|Vitan Makerel dalam Saos Tomat Vitan Macekrel in Tomato Sauce |PT Indocitra Jaya Samudera|null|seeAlso

37404|Pusan Muffin Rasa Pandan|PUSAN MANIS MULIA, PT|null|37744|Pusan Muffin|PUSAN MANIS MULIA, PT|null|owlsameAs

20718|Haldin Mangosteen Rind Glycolic Extract|Haldin Pacific Semesta,PT|null|20264|Haldin Tea Extract 10002640|Haldin Pacific Semesta,PT|null|seeAlso
20718|Haldin Mangosteen Rind Glycolic Extract|Haldin Pacific Semesta,PT|null|42595|Siwak Extract|Haldin Pacific Semesta,PT|null|seeAlso
20718|Haldin Mangosteen Rind Glycolic Extract|Haldin Pacific Semesta,PT|null|20272|Haldin Mangosteen SD Powde|Haldin Pacific Semesta,PT|null|owlsameAs
20718|Haldin Mangosteen Rind Glycolic Extract|Haldin Pacific Semesta,PT|null|11556|Coconut Water SD Powder Organic|Haldin Pacific Semesta,PT|null|seeAlso
20718|Haldin Mangosteen Rind Glycolic Extract|Haldin Pacific Semesta,PT|null|20104|Haldin Yohimbee Glycolic Extract|Haldin Pacific Semesta,PT|null|seeAlso

9697|COCO DARK CHOCOLATE COATED CRANBERRY|NETWORK FOODS INDUSTRIES SDN BHD|null|9711|COCO DARK CHOCOLATE COATED ALMOND|NETWORK FOODS INDUSTRIES SDN BHD|null|owlsameAs
9697|COCO DARK CHOCOLATE COATED CRANBERRY|NETWORK FOODS INDUSTRIES SDN BHD|null|10018|COCO MILK CHOCO RICE CEREAL|NETWORK FOODS INDUSTRIES SDN BHD|null|seeAlso
9697|COCO DARK CHOCOLATE COATED CRANBERRY|NETWORK FOODS INDUSTRIES SDN BHD|null|9568|COCO COKELAT SUSU DENGAN SEREAL BERAS DAN KACANG ALMOND|NETWORK FOODS INDUSTRIES SDN BHD|null|seeAlso
9697|COCO DARK CHOCOLATE COATED CRANBERRY|NETWORK FOODS INDUSTRIES SDN BHD|null|9539|COCO DARK CHOCOLATE COATED HAZEL|NETWORK FOODS INDUSTRIES SDN BHD|null|owlsameAs
9697|COCO DARK CHOCOLATE COATED CRANBERRY|NETWORK FOODS INDUSTRIES SDN BHD|null|9589|COCO DARK CHOCOLATE COATED MACADAMIA|NETWORK FOODS INDUSTRIES SDN BHD|null|owlsameAs

20430|Haldin Temu Giring Extract|Haldin Pacific Semesta,PT|null|20670|Haldin Suji Leaf SD Powder|Haldin Pacific Semesta,PT|null|seeAlso
20430|Haldin Temu Giring Extract|Haldin Pacific Semesta,PT|null|20060|Haldin Tamarind Liquid Extract|Haldin Pacific Semesta,PT|null|owlsameAs
20430|Haldin Temu Giring Extract|Haldin Pacific Semesta,PT|null|20269|Haldin Lerak Glycolic Extract|Haldin Pacific Semesta,PT|null|seeAlso
20430|Haldin Temu Giring Extract|Haldin Pacific Semesta,PT|null|20306|Haldin Pure Vanilla Pandan Powder|Haldin Pacific Semesta,PT|null|seeAlso
20430|Haldin Temu Giring Extract|Haldin Pacific Semesta,PT|null|20559|Haldin Melon Liquid Extract|Haldin Pacific Semesta,PT|null|owlsameAs

11716|Choice L Bumbu Rendang padang|PT Pristine Prima Lestari|null|37912|Prima Freshmart Lada Putih|PT Pristine Prima Lestari|null|seeAlso
11716|Choice L Bumbu Rendang padang|PT Pristine Prima Lestari|null|36123|Pazar Bumbu Pepes Ikan|PT Pristine Prima Lestari|null|seeAlso
11716|Choice L Bumbu Rendang padang|PT Pristine Prima Lestari|null|11613|Choice L Bumbu Sayur Asem|PT Pristine Prima Lestari|null|seeAlso
11716|Choice L Bumbu Rendang padang|PT Pristine Prima Lestari|null|36153|Pazar Bawang Putih Bubuk|PT Pristine Prima Lestari|null|seeAlso
11716|Choice L Bumbu Rendang padang|PT Pristine Prima Lestari|null|11565|Choice L Bumbu Semur|PT Pristine Prima Lestari|null|owlsameAs
11716|Choice L Bumbu Rendang padang|PT Pristine Prima Lestari|null|11338|Choice L Bumbu Ayam Goreng|PT Pristine Prima Lestari|null|owlsameAs

17482|GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 |PT Bukit Warna Abadi|null|17164|GOLDEN LOTUS Chemie INDIGO CARMINE FD C BLUE 2 |PT Bukit Warna Abadi|null|seeAlso
17482|GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 |PT Bukit Warna Abadi|null|17147|GOLDEN LOTUS Chemie D C RED 34 Ca LAKE|PT Bukit Warna Abadi|null|owlsameAs
17482|GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 |PT Bukit Warna Abadi|null|17452|GOLDEN LOTUS Chemie EGG YELLOW GL 01|PT Bukit Warna Abadi|null|seeAlso
17482|GOLDEN LOTUS Chemie ERYTHROSINE FD C RED 3 |PT Bukit Warna Abadi|null|18246|GOLDEN LOTUS Chemie URANINE D C YELLOW 8 |PT Bukit Warna Abadi|null|owlsameAs

24861|Keripik Wader Keju Manis WEMA |PKOPUNR WEMA|null|24130|Keripik Cetul Sambel Balado WEMA |PKOPUNR WEMA|null|seeAlso
24861|Keripik Wader Keju Manis WEMA |PKOPUNR WEMA|null|24493|Keripik Belut Pedas WEMA |PKOPUNR WEMA|null|seeAlso
24861|Keripik Wader Keju Manis WEMA |PKOPUNR WEMA|null|24414|Keripik Cetul Jagung Manis WEMA |PKOPUNR WEMA|null|owlsameAs
24861|Keripik Wader Keju Manis WEMA |PKOPUNR WEMA|null|25334|Keripik Udang Jagung Manis WEMA |PKOPUNR WEMA|null|owlsameAs

11293|Chocolate Coated Crunch|Inventive Food Technology Ltd|null|11445|Chocolate Malt Crunch|Inventive Food Technology Ltd|null|owlsameAs

23139|KIBIF Beef Breakfast Sausage|PT. De Glow International|null|24717|Kibif Meat Ball Super|PT. De Glow International|null|seeAlso
23139|KIBIF Beef Breakfast Sausage|PT. De Glow International|null|67783|kibif Beef Burger Bulgogi|PT. De Glow International|null|seeAlso
23139|KIBIF Beef Breakfast Sausage|PT. De Glow International|null|25273|Kibif Bakso Sapi|PT. De Glow International|null|seeAlso
23139|KIBIF Beef Breakfast Sausage|PT. De Glow International|null|23429|KIBIF Sosis Beef Weiner|PT. De Glow International|null|seeAlso
23139|KIBIF Beef Breakfast Sausage|PT. De Glow International|null|25181|Kibif Beef Pepperoni|PT. De Glow International|null|seeAlso
23139|KIBIF Beef Breakfast Sausage|PT. De Glow International|null|23180|KIBIF Chicken Breakfast Sausage|PT. De Glow International|null|owlsameAs

33741|Oleoresin of Star Anise NE0033|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|39137|Roasted Pepper Essential Oil NE0085|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|seeAlso
33741|Oleoresin of Star Anise NE0033|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|34055|Original Cumin Essential Oil NE0016|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|seeAlso
33741|Oleoresin of Star Anise NE0033|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|39321|Roaseted Cumin Essential Oil NE0017|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|seeAlso
33741|Oleoresin of Star Anise NE0033|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|34234|Oleoresin of Capsicum NE0073|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|owlsameAs
33741|Oleoresin of Star Anise NE0033|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|43446|Spices Cooking Oil NE0041|Xumei(Kaifeng) Bio Technology Co.,Ltd|null|seeAlso

12532|Creamfill Instant Cheese|FEDERAL FOOD INTERNUSA, PT|null|37181|Premiks Banana Pond Cake|FEDERAL FOOD INTERNUSA, PT|null|seeAlso
12532|Creamfill Instant Cheese|FEDERAL FOOD INTERNUSA, PT|null|12283|Creamfill Instant Chocolate|FEDERAL FOOD INTERNUSA, PT|null|owlsameAs
12532|Creamfill Instant Cheese|FEDERAL FOOD INTERNUSA, PT|null|12244|Creamfill Instant Sarikaya|FEDERAL FOOD INTERNUSA, PT|null|owlsameAs
12532|Creamfill Instant Cheese|FEDERAL FOOD INTERNUSA, PT|null|37008|Premiks Chiffon Vanilla|FEDERAL FOOD INTERNUSA, PT|null|seeAlso
12532|Creamfill Instant Cheese|FEDERAL FOOD INTERNUSA, PT|null|11937|Creamfill Instant Banana|FEDERAL FOOD INTERNUSA, PT|null|owlsameAs

23480|KANEKA Filling Cheese Series|PT. Kaneka Foods Indonesia|null|23102|KANEKA Filling Vanilla Series|PT. Kaneka Foods Indonesia|null|owlsameAs
23480|KANEKA Filling Cheese Series|PT. Kaneka Foods Indonesia|null|23507|KANEKA Filling Mango Series|PT. Kaneka Foods Indonesia|null|owlsameAs
23480|KANEKA Filling Cheese Series|PT. Kaneka Foods Indonesia|null|23551|KANEKA Filling Jackfruit Series|PT. Kaneka Foods Indonesia|null|owlsameAs
23480|KANEKA Filling Cheese Series|PT. Kaneka Foods Indonesia|null|23517|KANEKA Filling Passion Fruit Series|PT. Kaneka Foods Indonesia|null|seeAlso
